SchCode,School,City,County,Enrollment,Conditional_Num,Cond_Per,PBE_Num,PBE_Per,FRPM_Per
6004295,SHORE ACRES ELEMENTARY,BAY POINT,CONTRA COSTA,104,0,0,0,0,0.947858453
6004303,SILVERWOOD ELEMENTARY,CONCORD,CONTRA COSTA,87,2,0.022988506,4,0.045977011,0.449678808
6004311,STRANDWOOD ELEMENTARY,PLEASANT HILL,CONTRA COSTA,115,2,0.017391304,10,0.086956522,0.121765599
6004329,SUN TERRACE ELEMENTARY,CONCORD,CONTRA COSTA,116,1,0.00862069,0,0,0.745974958
6004337,VALHALLA ELEMENTARY,PLEASANT HILL,CONTRA COSTA,77,2,0.025974026,4,0.051948052,0.203098103
6004345,VALLE VERDE ELEMENTARY,WALNUT CREEK,CONTRA COSTA,106,1,0.009433962,2,0.018867925,0.080086581
6004360,WALNUT ACRES ELEMENTARY,WALNUT CREEK,CONTRA COSTA,128,1,0.0078125,4,0.03125,0.05831904
6004378,WESTWOOD ELEMENTARY,CONCORD,CONTRA COSTA,55,1,0.018181818,1,0.018181818,0.489690721
6004394,WOODSIDE ELEMENTARY,CONCORD,CONTRA COSTA,60,2,0.033333333,3,0.05,0.386206895
6004402,WREN AVENUE ELEMENTARY,CONCORD,CONTRA COSTA,112,0,0,3,0.026785714,0.757741332
6004410,YGNACIO VALLEY ELEMENTARY,CONCORD,CONTRA COSTA,90,1,0.011111111,0,0,0.822179735
6096226,RIO VISTA ELEMENTARY,BAY POINT,CONTRA COSTA,96,1,0.010416667,0,0,0.927450955
6112395,GREGORY GARDENS ELEMENTARY,PLEASANT HILL,CONTRA COSTA,76,2,0.026315789,1,0.013157895,0.422279805
0110684,IRON HOUSE ELEMENTARY,OAKLEY,CONTRA COSTA,89,0,0,2,0.02247191,0.545695364
6004428,OAKLEY ELEMENTARY,OAKLEY,CONTRA COSTA,59,2,0.033898305,1,0.016949153,0.755646825
6096234,GEHRINGER ELEMENTARY,OAKLEY,CONTRA COSTA,116,1,0.00862069,5,0.043103448,0.48216483
6110803,LAUREL ELEMENTARY,OAKLEY,CONTRA COSTA,99,1,0.01010101,4,0.04040404,0.366306037
6110811,VINTAGE PARKWAY ELEMENTARY,OAKLEY,CONTRA COSTA,105,1,0.00952381,0,0,0.473477393
6004444,DEL REY ELEMENTARY,ORINDA,CONTRA COSTA,67,19,0.28358209,0,0,0.004901961
6004451,GLORIETTA ELEMENTARY,ORINDA,CONTRA COSTA,85,2,0.023529412,0,0,0
6004501,SLEEPY HOLLOW ELEMENTARY,ORINDA,CONTRA COSTA,69,1,0.014492754,1,0.014492754,0
6066583,WAGNER RANCH ELEMENTARY,ORINDA,CONTRA COSTA,60,25,0.416666667,0,0,0.002570694
0116863,MARINA VISTA ELEMENTARY,PITTSBURG,CONTRA COSTA,124,34,0.274193548,0,0,0.87386018
6004527,HEIGHTS ELEMENTARY,PITTSBURG,CONTRA COSTA,109,0,0,0,0,0.847860515
6004535,HIGHLANDS ELEMENTARY,PITTSBURG,CONTRA COSTA,123,1,0.008130081,0,0,0.844947755
6004543,LOS MEDANOS ELEMENTARY,PITTSBURG,CONTRA COSTA,124,1,0.008064516,0,0,0.855683267
6004568,PARKSIDE ELEMENTARY,PITTSBURG,CONTRA COSTA,139,14,0.100719424,1,0.007194245,0.904984415
6004576,WILLOW COVE ELEMENTARY,PITTSBURG,CONTRA COSTA,134,7,0.052238806,2,0.014925373,0.894590855
6098578,FOOTHILL ELEMENTARY,PITTSBURG,CONTRA COSTA,93,13,0.139784946,1,0.010752688,0.820773959
6109383,STONEMAN ELEMENTARY,PITTSBURG,CONTRA COSTA,125,1,0.008,3,0.024,0.870915055
0110973,RICHMOND COLLEGE PREPARATORY,RICHMOND,CONTRA COSTA,92,0,0,0,0,0.849282324
6004600,BAYVIEW ELEMENTARY,SAN PABLO,CONTRA COSTA,92,1,0.010869565,1,0.010869565,0.922525108
6004659,COLLINS ELEMENTARY,PINOLE,CONTRA COSTA,52,0,0,0,0,0.527472556
6004667,CORONADO ELEMENTARY,RICHMOND,CONTRA COSTA,46,1,0.02173913,0,0,0.945295393
6004691,DOVER ELEMENTARY,SAN PABLO,CONTRA COSTA,96,0,0,1,0.010416667,0.943005204
6004733,ELLERHORST ELEMENTARY,PINOLE,CONTRA COSTA,41,0,0,0,0,0.414457828
6004741,HIGHLAND ELEMENTARY,RICHMOND,CONTRA COSTA,76,0,0,0,0,0.909441233
6004758,FAIRMONT ELEMENTARY,EL CERRITO,CONTRA COSTA,81,1,0.012345679,1,0.012345679,0.664335668
6004766,FORD ELEMENTARY,RICHMOND,CONTRA COSTA,62,0,0,0,0,0.920570254
6004774,GRANT ELEMENTARY,RICHMOND,CONTRA COSTA,72,1,0.013888889,0,0,0.937823832
6004782,HARDING ELEMENTARY,EL CERRITO,CONTRA COSTA,40,0,0,3,0.075,0.351351351
6004808,KENSINGTON ELEMENTARY,KENSINGTON,CONTRA COSTA,65,0,0,5,0.076923077,0.080614202
6004824,LAKE ELEMENTARY,SAN PABLO,CONTRA COSTA,46,0,0,0,0,0.955503523
6004832,LINCOLN ELEMENTARY,RICHMOND,CONTRA COSTA,64,1,0.015625,0,0,0.945887446
6004840,MADERA ELEMENTARY,EL CERRITO,CONTRA COSTA,74,0,0,0,0,0.180478826
6004857,MIRA VISTA ELEMENTARY,RICHMOND,CONTRA COSTA,50,1,0.02,2,0.04,0.637362659
6004865,MONTALVIN MANOR ELEMENTARY,SAN PABLO,CONTRA COSTA,59,1,0.016949153,0,0,0.929951668
6004873,MURPHY ELEMENTARY,EL SOBRANTE,CONTRA COSTA,70,2,0.028571429,0,0,0.665306151
6004881,NYSTROM ELEMENTARY,RICHMOND,CONTRA COSTA,85,2,0.023529412,0,0,0.959999979
6004899,OLINDA ELEMENTARY,EL SOBRANTE,CONTRA COSTA,42,2,0.047619048,2,0.047619048,0.278409094
6004907,PERES ELEMENTARY,RICHMOND,CONTRA COSTA,71,1,0.014084507,0,0,0.782374084
6004915,KING ELEMENTARY,RICHMOND,CONTRA COSTA,74,1,0.013513514,0,0,0.963855445
6004931,RIVERSIDE ELEMENTARY,RICHMOND,CONTRA COSTA,45,1,0.022222222,0,0,0.889150918
6004956,SHANNON ELEMENTARY,PINOLE,CONTRA COSTA,82,0,0,0,0,0.676136374
6004964,SHELDON ELEMENTARY,RICHMOND,CONTRA COSTA,39,1,0.025641026,0,0,0.683923721
6004972,STEGE ELEMENTARY,RICHMOND,CONTRA COSTA,74,3,0.040540541,0,0,0.979827106
6004980,STEWART ELEMENTARY,PINOLE,CONTRA COSTA,52,2,0.038461538,1,0.019230769,0.458064526
6004998,TARA HILLS ELEMENTARY,SAN PABLO,CONTRA COSTA,69,0,0,0,0,0.732014418
6005003,VALLEY VIEW ELEMENTARY,RICHMOND,CONTRA COSTA,25,1,0.04,0,0,0.401785702
6005011,VERDE ELEMENTARY,RICHMOND,CONTRA COSTA,50,1,0.02,0,0,0.974763393
6005037,WASHINGTON ELEMENTARY,RICHMOND,CONTRA COSTA,65,0,0,0,0,0.67223382
6005045,WILSON ELEMENTARY,RICHMOND,CONTRA COSTA,72,2,0.027777778,1,0.013888889,0.879377425
6057210,EDWARD M. DOWNER ELEMENTARY,SAN PABLO,CONTRA COSTA,112,0,0,0,0,0.969072163
6097141,LUPINE HILLS ELEMENTARY,HERCULES,CONTRA COSTA,86,0,0,1,0.011627907,0.446115285
6099717,OHLONE ELEMENTARY,HERCULES,CONTRA COSTA,53,0,0,1,0.018867925,0.317280442
6112015,HANNA RANCH ELEMENTARY,HERCULES,CONTRA COSTA,69,0,0,0,0,0.262295067
6114094,CESAR E. CHAVEZ ELEMENTARY,RICHMOND,CONTRA COSTA,87,0,0,0,0,0.961309552
0102566,HIDDEN HILLS ELEMENTARY,SAN RAMON,CONTRA COSTA,146,0,0,2,0.01369863,0.030640669
0109173,QUAIL RUN ELEMENTARY,SAN RAMON,CONTRA COSTA,161,0,0,2,0.01242236,0.10009443
0113589,LIVE OAK ELEMENTARY,SAN RAMON,CONTRA COSTA,133,0,0,1,0.007518797,0.045895852
0119032,CREEKSIDE ELEMENTARY,DANVILLE,CONTRA COSTA,93,0,0,1,0.010752688,0.013404826
6005060,ALAMO ELEMENTARY,ALAMO,CONTRA COSTA,50,2,0.04,2,0.04,0.024024025
6005086,COUNTRY CLUB ELEMENTARY,SAN RAMON,CONTRA COSTA,93,2,0.021505376,1,0.010752688,0.054158606
6005094,GREEN VALLEY ELEMENTARY,DANVILLE,CONTRA COSTA,74,1,0.013513514,4,0.054054054,0.010526316
6005102,JOHN BALDWIN ELEMENTARY,DANVILLE,CONTRA COSTA,78,3,0.038461538,0,0,0.014842301
6005128,MONTAIR ELEMENTARY,DANVILLE,CONTRA COSTA,106,24,0.226415094,4,0.037735849,0.026223777
6005136,RANCHO ROMERO ELEMENTARY,ALAMO,CONTRA COSTA,77,1,0.012987013,0,0,0.021235522
6005151,VISTA GRANDE ELEMENTARY,DANVILLE,CONTRA COSTA,106,1,0.009433962,3,0.028301887,0.023845008
6066591,NEIL A. ARMSTRONG ELEMENTARY,SAN RAMON,CONTRA COSTA,96,4,0.041666667,1,0.010416667,0.04920635
